Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
Ad teqqimed din.
Ad terbeḥ Linda?
Ad terbeḥ Marie.
Ad ternuḍ sskeṛ?
Ad ternumt aṭas?
Ad tesɛud lḥeqq.
Ad tesɛuḍ lḥeqq.
Ad tesɛum lḥeqq.
Ad tesker aɣṛum.
Ad teslek Layla.
Ad teswed qahwa?
Ad tettfunzured.
Ad tettfunzureḍ.
Ad tettfunzurem.
Ad tettmerriḥem?
Ad tettwaḥemmel.
Ad tettwaxeyyeb.
Ad tewwet lehwa.
Ad texdem ass-a?
Ad teẓred ticki.
Ad tezwej Linda.
Ad t-geɣ imir-a.
Ad tḥuddemt Dan.
Ad t-id-mmagren?
Ad t-id-mmektin?
Ad t-id-nessaki?
Ad t-id-tekkseḍ?
Ad t-id-tekksem?
Ad t-id-tuqmemt?
Ad t-id-yaf Tom.
Ad tiliḍ weḥd-k.
Ad tilimt yid-i.
Ad tmahel ass-a?
Ad tqeblemt aya?
Ad tṛuḥ tmacint.
Ad t-tawey Mary.
Ad t-tawi yid-s?
Ad t-tesseɣlimt.
Ad t-tgemt, naɣ?
Ad tt-id-kksent?
Ad tt-id-tafemt.
Ad tt-id-tekkes?
Ad tt-id-tuqmeḍ?
Ad tt-id-tuqmem?
Ad tt-id-uqment?
Ad tt-id-yekkes?
Ad ttiliɣ yid-s.
Ad tt-teḥwijemt.
Ad tt-tesseɣliḍ.
Ad tt-tesseɣlim.
Ad tt-tged, naɣ?
Ad tt-tgeḍ, naɣ?
Ad tt-tgem, naɣ?
Ad tt-tḥemmlemt.
Ad tt-tleqqmemt?
Ad tt-tseggmemt?
Ad tt-txellṣemt!
Ad ttwaḥemmlent.
Ad ttwaxeyybent.
Ad tt-yawey Tom.
Ad tt-yefru Tom.
Ad twalid asaru.
Ad twalim asaru.
Ad t-yawi yid-s?
Ad t-yeffer Tom.
Ad t-yexneq Dan.
Ad t-ẓreɣ ass-a.
Ad ur iyi tksnd.
Ad urareɣ yid-k.
Ad urareɣ yid-m.
Ad uraren yid-i?
Ad uraren yid-s?
Ad wali tiliẓri.
Ad walint asaru.
Ad wen-t-ɛeṛḍen?
Ad wen-ten-fken?
Ad wen-ten-tefk?
Ad wen-t-teɛṛeḍ?
Ad wen-tt-fkent?
Ad xedmen ass-a?
Ad yaɣ awal Tom.
Ad yaru tafyirt.
Ad yebbi aseklu.
Ad yeccetki Tom.
Ad yeddu azekka.
Ad yeɛbed Ṛebbi.
Ad yefren yiwen.
Ad yeg tazaxixt.
Ad yeɣli ugeffur
Ad yeɣli unabaḍ!
Ad yeṛḥem Ṛebbi.
Ad yettwaḥemmel.
Ad yettwaxeyyeb.
Ad yexdem ass-a?
Ad zewǧeɣ yid-k.
Ad zewǧeɣ yid-m.
Adef-d neɣ ffeɣ.
Adef-d, ggulleɣ.
Adfel d acebḥan.
Adfel d amellal.
Adfem ɣer daxel.
Adfemt-d imir-a.
Adfet ɣer daxel.
Adfet neɣ ffɣet.
Adlis d azeggaɣ.
Adlis-a d aqbur.
Adlis-a d aqdim.
Adlis-a i tɣuri.
Adlis-a, n Tony.
