Maɣef ay xedɛent?
Maɣef ay zeɛḍent?
Maɣef ay zerrwen?
Maɣef ur d-tusid?
Maɣef ur tceffud?
Maɣef ur tcennud?
Maɣef ur tsellem?
Maɣef? Maɣef uhu?
Mani amestan-inu?
Mani illa ujmir ?
Mani tella tinmel
Mani tinmel-nnek?
Maria tḥemmel-ik.
Marie ad teggani.
Marie ad tqeyyel.
Marie attan ccwi.
Marie la tlemmed.
Marie tebɣa aman.
Marie tečča mliḥ.
Marie teḥwaj aya.
Marie tekṛeh Tom.
Marie tella tdel.
Marie tella tɣab.
Marie tella tuki.
Marie temmectcaw.
Marie tenkeṛ aya?
Marie tessen Tom.
Marie tettfunzur.
Marie tettnuddum.
Marie tettqeyyil.
Marie tettwaḍḍef.
Marie tettwaḥeṛṛ.
Marie tettwakṛeh.
Marie tettwaẓẓeɛ.
Marie tḥemmel-ik!
Marie tla uguren?
Marie tugad aṭas.
Marie ur tettfad.
Marie ur tqebbel.
Marie ur tqeyyel.
Marry tettqerrib.
May tella lkarṭa.
Mazal cedhaɣ-kem.
Mazal cedhaɣ-ken.
Mazal d ceṭṭḥemt?
Mazal nesɛa akud.
Mazal sɛiɣ ccɣel.
Mazal tezdeɣ din?
Mazal yebɛeḍ sya?
Mazal yesɛa ccek.
Mazal yettru Tom?
Mazal yezdeɣ din?
Mazal zedɣen din?
Mazal ẓeṛṛeɣ Tom.
Mazal-ik d aqyar?
Mazal-ik teccḍed.
Mazal-ik tsekṛed.
Mazal-ikem tukid?
Mazal-iken tukim?
Mazal-itt tedder.
Mazal-iyi ffudeɣ.
Mazal-iyi ṣerɛeɣ.
Mbaddalen isefka.
Mdel akk tizewwa!
Mecḥen-d aɣebbar.
Medden lan afran.
Medlemt tazewwut!
Medlemt tazewwut.
Medlen yinafagen.
Meɛna iɛǧeb-awen?
Meɛnen lehḥuṛ-ik.
Meɛnen lehḥuṛ-im.
Meg tṛebba amcic.
Meɣɣer uxxam-inu.
Meɣɣer yimi-nnes.
Meɣɣrit tḍeffa-a.
Megren irden-nni.
Meɣres d amtiweg.
Mek tramt, neddu.
Mel-asen tawwurt.
Melmi ad d-nuɣal?
Melmi ad d-tuɣal?
Melmi ad d-yuɣal?
Melmi ad k-ẓṛent?
Melmi ad teddumt?
Melmi ad tt-iẓeṛ?
Melmi ad tt-ẓṛeɣ?
Melmi ad tt-ẓṛen?
Melmi ad t-ẓṛent?
Melmi ara d-asen?
Melmi ara mlilen?
Melmi ara neffeɣ?
Melmi ara n-iruḥ?
Melmi ara n-truḥ?
Melmi ara ruḥent?
Melmi ara tebdud?
Melmi ara tebduḍ?
Melmi ara teččeḍ?
Melmi ara teččem?
Melmi ara teddud?
Melmi ara tedduḍ?
Melmi ara tegneḍ?
Melmi ara teṛwuḍ?
Melmi ara truḥeḍ?
Melmi ara tṛuḥeḍ?
Melmi ara truḥem?
Melmi ara tṛuḥem?
Melmi ay d-tusid?
Melmi ay iga aya?
Melmi ay ssullin?
Melmi ay tguǧǧed?
Melmi ay tzejǧed?
Melmi ay tzewjeḍ?
Melmi i d-ruḥent?
Melmi i d-truḥeḍ?
Melmi i d-truḥem?
Melmi i d-yeḍra ?
Melmi i iṛuḥ Tom?
Menhu ara iruḥen?
Menhu i yemmuten?
Menwala ad yelhu.
Meqqer asugen-is.
Meqqer ccmini-ya.
Meqqer ddeqs-is ?
Meqqer iḍuḍan-is.
Meqqeṛ ufus-nneɣ.
Meqqeṛ ufus-nsen.
Meqqeṛ wexxam-iw.
Merkur d amtiweg.
Merrɣeɣ am uqjun.
Meskin umcic-nni.
Meslayeɣ d yelli.
Meslayet-d yid-i.
Meyyez s tifrirt.
Mi hak-t-id-inan?
Mi tewses terẓem.
Mimi uhu dy snin?
Mlalent s tuffra.
Mmektiɣ-d imir-a!
Mmektiɣ-d imir-a.
Mmektit-d ilindi.
Mmeslay s laɛqel.
Mmeslay s ttawil.
Mmɣen ɣef ucengu.
Mmi yuɣal dargaz.
Mmlaleɣ-t-id din.
Mmlet-as-t i Tom.
Mmuqel ɣer dihin.
Mmuqqel aydi-nni.
Mmuqqel d asawen.
Mmuqqel! D tuḍut!
Mmuqqel! Mmuqqel!
Mmuqqel, d tuḍut!
Mmuqqel-d ɣer da.
Mmuqqleɣ s agens.
Mmuqqlet axxam-a.
Mmuteɣ seg ɛeyyu.
Mmuteɣ seg teḍsa.
Mmuteɣ seg tugdi.
Mmuten seg ɛeyyu.
Mmuten seg lfeṛḥ.
Mqidec bu lehmum.
Msefhamen fell-i.
Msefhament yid-i.
Msefhament yid-k.
Msefhament yid-m.
Msefhament yid-s.
Mudden-akent-ten.
Mudden-asen-tent.
Mudden-asent-ten.
Mudden-awen-tent.
Muddent-akent-tt.
Muddent-asen-ten.
Muddent-asent-tt.
Muddent-awen-ten.
Muddent-iyi-tent.
Muḥend d akafriw.
Muqel winna dahi.
Muqqel ar deffir!
Muqqel ar tama-k.
Muqqel-d ar daki!
Myeḥmalen nezzeh.
N Takeo wedlis-a?
Naɣ tṛeggmem-t-d!
Nancy seg London.
Nancy tra aẓawan.
Naqal ḥeqreɣ-kem.
Naqal teɛjeb-iyi.
Naqal yeɛjeb-iyi.
Ncedha-k i meṛṛa.
Ncedha-kem akkit.
Ncedha-ken akkit.
Nɛawen igellilen.
Nebɣa ad as-nsel.
Nebɣa ad netḥeqq.
Nebɣa ad t-nawey.
Nebɣa kra n cṛab.
Necca tibexsisin.
Necci d tameṭṭut.
Necfa fell-awent.
Nedda ɣer umahil.
Nedda ɣer unafag.
Nedda ɣer usalay.
Neḍsa merra-nteɣ.
Neɛṛeḍ yakkan wa.
Neɛreḍ-itent akk.
Neɛṛeq deg teẓgi.
Neɛya seg wenẓar.
Nɛeyyen-as i Tom.
Nefka-as tamrint.
Nefka-asent učči.
Nefser iceḍḍiḍen.
Neggez d akessar.
Neggzemt ɣer din.
Neḥbes imeṭṭawen.
Neḥbes ur nuksan.
Nehda-as tamrint.
Nehhṛen s tɣawla.
Nehṛent s tsusmi.
Neḥwaǧ takerrust.
Neḥwaj ad neḍḍes.
Neḥwaj akk tayri.
Neḥwaj anẓar-nni.
Neḥwaj takeṛṛust.
Neḥwaj tiririyin.
Nejbed iman-nneɣ.
Nejja arraw-nneɣ.
Nejja arraw-nteɣ.
Nek mačči ad keč.
Nekk ad kem-aɣeɣ.
Nekk d Amarikani.
Nekk d amaynu da.
Nekk d ameṛkanti.
Nekk d Aṛjentini.
Nekk d ataylandi.
Nekk d baba-twen.
Nekk d bu-tidett.
Nekk d Francesco.
Nekk d mm tefrit.
Nekk d taceṭṭaḥt.
Nekk d tacinwatt.
Nekk d tafremlit.
Nekk d tamadlast.
Nekk d Tamajaṛit.
Nekk d tamedyazt.
Nekk d tamsaltut.
Nekk d taneɣmast.
Nekk d taqbaylit.
Nekk d taselmadt.
Nekk d tazedgant.
Nekk d timsujjit.
Nekk d tirlandit.
Nekk daɣen ṛuḥeɣ.
Nekk dima lluẓeɣ.
Nekk ɣer-i immut.
Nekk isem-iw Shu.
Nekk seg Marikan.
Nekk seg Ṛumanya.
Nekk ur d anasaf.
Nekk ur d baba-k.
Nekk ur d baba-m.
Nekk ur snuzuyeɣ.
Nekk ur ttagadeɣ.
Nekka-d nnig-sen.
Nekkenti nettett.
Nekkni d Aɛṛaben.
Nekkni d imdanen.
Nekkni d Izwawen.
Nekkni nettsetḥi.
Nekkni neẓra aya.
Nekkni nugar Tom.
Nekkni nwufeq-ik.
Nekni d imaɣaden.
Nekni d iẓrilwen.
Nekreɣ zik ass-a.
Nekṛeh Halloween.
Nekṛeh ibeɛɛucen.
Nella d timdukal.
Nella nbeddu zik.
Nella nebded din.
Nella nebɣa anza.
Nella neḍḍes din.
Nella neqqim din.
Nella nerfa aṭas.
Nella nesɛa cwiṭ.
Nella nessen-itt.
Nella nettader-d.
Nella nettarra-d.
Nella nettbeddil.
Nella nettɛeḍḍil.
Nella nettemyaru.
Nella nettezriri.
Nella nettfunzur.
Nella nettkemmil.
Nella nettmerriḥ.
Nella nettnuddum.
Nella nettqeṣṣiṛ.
Nella nettqeyyil.
Nella nettqummuc.
Nella nettraju-k.
Nella nettrusu-d.
Nella nettseffiq.
Nella nettwaḍḍaf.
Nella nettwaḥeṛṛ.
Nella nettwargam.
Nella nezdeɣ din.
Nella nla asihaṛ.
Nella nuggad aya.
Nemgarad, ɛelmeɣ.
Nemmuqqel-it akk.
Nemmut seg ɛeyyu.
Nemsefham gar-aɣ.
Nendi-asen akmin.
Neqqim deg unẓar.
Neqqim deg wadur.
Neqqim ɣer ɛemmi.
Neṛja aṭas, aṭas.
Neṛja nnuba-nneɣ.
Neṛja nnuba-nteɣ.
Nerna deg lmizan.
Nerra ddehn-nneɣ.
Nerra ddehn-nteɣ.
Nerra deg usawal.
Ners-d ɣef yilel.
Nerza ɣef Boston.
Nerza ɣef London.
Nesfeḍ s tesfeḍt.
Nesleḍ igmaḍ-nni.
Nesnuzuy irkasen.
Nesri i yedrimen.
Nessedha igerdan.
Nessefhem-itt-id.
Nesseɣsi aselkim.
Nessemɣar kullec.
Nessemɣer tagnit.
Nessen adlis-nni.
Nessewxer aneḍru.
Nessexsi aselkim.
Nessuffeɣ tursaḍ.
Nessugun ibeɛɛac.
Nessuref-ak yagi.
Nessuter-d ssmaḥ.
Nessuter-d yiwen.
Nessuter-d yiwet.
Nesteɛṛef necceḍ.
Netni d iziwiwen.
Netta d Abriṭani.
Netta d afṛansis.
Netta d Ameṛṛuki.
Netta d amsestan.
Netta d anmezruy.
Netta d aṭalyani.
Netta seg Lalman.
Netta seg Lisbun.
Netta yebda yagi.
Netta yesɛa aydi.
Netta yexs latay.
Netta yudes ugar.
Nettamen s Ṛebbi.
Nettat d tankirt.
Nettat d Tarusit.
Nettat d Tazwawt.
Nettat tugar Tom.
Nettili gar-asen.
Nettnadi axeddim.
Netturar abizbul.
Nettwali tiliẓri.
Nɛumm deg lebḥer.
Newwi-as-d asefk.
Newwi-d s lexbeṛ.
Nezfeɣ seg ɛeggu.
Nezga nsett mliḥ.
Nezgel aqlaɛ-nni.
Nezmer ad naṛju .
Nezmer ad neɛreḍ?
Neẓra afaylu-nni.
Neẓra akaram-nni.
Neẓra-tt tceḍḍeḥ.
Neẓẓel ɣef ukasa.
Nfuk yagi imensi.
Nga axeddim-nneɣ.
Nga axeddim-nteɣ.
Nɣant-akent-tent.
Nɣant-asent-tent.
Nɣan-ten, ayɣer ?
Nɣucc-ik i meṛṛa.
Nguǧǧ ɣer Lalman.
Nḥemmel ad necnu.
Nḥemmel tiḥkayin.
Nḥemmel tiqcicin.
Nḥemmel Ustṛalya.
Nḥemmel-iken akk.
Nḥemmel-it meṛṛa.
Nheṛ cemma-cemma.
Nitenti ttettent.
Nitni d imayaden.
Nitni d imidiwen.
Nitni d imidiwen?
Nitni d inaẓuren.
Nitni d Irusiyen.
